sensor_id,x_m,t_s,T_excess_K,T_uncertainty_K,source
S01,0.02,10,26.62720258,0,synthetic_analytical
S01,0.02,20,24.12472631,0,synthetic_analytical
S01,0.02,30,21.85743763,0,synthetic_analytical
S01,0.02,40,19.80323314,0,synthetic_analytical
S01,0.02,50,17.94208679,0,synthetic_analytical
S01,0.02,60,16.25585459,0,synthetic_analytical
S01,0.02,70,14.72809777,0,synthetic_analytical
S01,0.02,80,13.34392251,0,synthetic_analytical
S01,0.02,90,12.08983473,0,synthetic_analytical
S01,0.02,100,10.95360855,0,synthetic_analytical
S01,0.02,110,9.924167127,0,synthetic_analytical
S01,0.02,120,8.991474605,0,synthetic_analytical
S01,0.02,130,8.146438341,0,synthetic_analytical
S01,0.02,140,7.380820227,0,synthetic_analytical
S01,0.02,150,6.687156392,0,synthetic_analytical
S01,0.02,160,6.058684433,0,synthetic_analytical
S01,0.02,170,5.489277491,0,synthetic_analytical
S01,0.02,180,4.97338452,0,synthetic_analytical
S01,0.02,190,4.505976173,0,synthetic_analytical
S01,0.02,200,4.082495772,0,synthetic_analytical
S02,0.04,10,43.08371879,0,synthetic_analytical
S02,0.04,20,39.03462714,0,synthetic_analytical
S02,0.04,30,35.36607699,0,synthetic_analytical
S02,0.04,40,32.04230431,0,synthetic_analytical
S02,0.04,50,29.03090626,0,synthetic_analytical
S02,0.04,60,26.30252524,0,synthetic_analytical
S02,0.04,70,23.83056278,0,synthetic_analytical
S02,0.04,80,21.59092016,0,synthetic_analytical
S02,0.04,90,19.56176351,0,synthetic_analytical
S02,0.04,100,17.72331094,0,synthetic_analytical
S02,0.04,110,16.05763972,0,synthetic_analytical
S02,0.04,120,14.54851152,0,synthetic_analytical
S02,0.04,130,13.18121412,0,synthetic_analytical
S02,0.04,140,11.94241799,0,synthetic_analytical
S02,0.04,150,10.82004633,0,synthetic_analytical
S02,0.04,160,9.80315734,0,synthetic_analytical
S02,0.04,170,8.881837554,0,synthetic_analytical
S02,0.04,180,8.047105192,0,synthetic_analytical
S02,0.04,190,7.290822601,0,synthetic_analytical
S02,0.04,200,6.605616918,0,synthetic_analytical
S03,0.06,10,43.08371879,0,synthetic_analytical
S03,0.06,20,39.03462714,0,synthetic_analytical
S03,0.06,30,35.36607699,0,synthetic_analytical
S03,0.06,40,32.04230431,0,synthetic_analytical
S03,0.06,50,29.03090626,0,synthetic_analytical
S03,0.06,60,26.30252524,0,synthetic_analytical
S03,0.06,70,23.83056278,0,synthetic_analytical
S03,0.06,80,21.59092016,0,synthetic_analytical
S03,0.06,90,19.56176351,0,synthetic_analytical
S03,0.06,100,17.72331094,0,synthetic_analytical
S03,0.06,110,16.05763972,0,synthetic_analytical
S03,0.06,120,14.54851152,0,synthetic_analytical
S03,0.06,130,13.18121412,0,synthetic_analytical
S03,0.06,140,11.94241799,0,synthetic_analytical
S03,0.06,150,10.82004633,0,synthetic_analytical
S03,0.06,160,9.80315734,0,synthetic_analytical
S03,0.06,170,8.881837554,0,synthetic_analytical
S03,0.06,180,8.047105192,0,synthetic_analytical
S03,0.06,190,7.290822601,0,synthetic_analytical
S03,0.06,200,6.605616918,0,synthetic_analytical
S04,0.08,10,26.62720258,0,synthetic_analytical
S04,0.08,20,24.12472631,0,synthetic_analytical
S04,0.08,30,21.85743763,0,synthetic_analytical
S04,0.08,40,19.80323314,0,synthetic_analytical
S04,0.08,50,17.94208679,0,synthetic_analytical
S04,0.08,60,16.25585459,0,synthetic_analytical
S04,0.08,70,14.72809777,0,synthetic_analytical
S04,0.08,80,13.34392251,0,synthetic_analytical
S04,0.08,90,12.08983473,0,synthetic_analytical
S04,0.08,100,10.95360855,0,synthetic_analytical
S04,0.08,110,9.924167127,0,synthetic_analytical
S04,0.08,120,8.991474605,0,synthetic_analytical
S04,0.08,130,8.146438341,0,synthetic_analytical
S04,0.08,140,7.380820227,0,synthetic_analytical
S04,0.08,150,6.687156392,0,synthetic_analytical
S04,0.08,160,6.058684433,0,synthetic_analytical
S04,0.08,170,5.489277491,0,synthetic_analytical
S04,0.08,180,4.97338452,0,synthetic_analytical
S04,0.08,190,4.505976173,0,synthetic_analytical
S04,0.08,200,4.082495772,0,synthetic_analytical
