sensor_id,x_m,t_s,T_excess_K,T_uncertainty_K,source
S01,0.02,10,26.41022751,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,20,23.71664834,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,30,21.86024173,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,40,19.08306481,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,50,16.85634954,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,60,16.40042295,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,70,14.04783875,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,80,13.29179105,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,90,12.2655812,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,100,10.30193565,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,110,9.721896583,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,120,9.444950846,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,130,8.029405464,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,140,8.424451375,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,150,6.944230682,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,160,5.324558761,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,170,5.914015298,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,180,4.961600869,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,190,5.405337188,0.5,synthetic_analytical_with_gaussian_noise
S01,0.02,200,3.997548456,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,10,42.84608941,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,20,38.34829615,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,30,35.10593618,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,40,32.71361617,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,50,28.94507558,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,60,26.23591252,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,70,23.7254525,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,80,21.35999197,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,90,20.17248705,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,100,18.20109795,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,110,15.88290905,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,120,14.02233109,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,130,13.16144704,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,140,11.65469317,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,150,11.29481159,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,160,10.4230987,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,170,8.575653557,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,180,9.016554881,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,190,7.352655853,0.5,synthetic_analytical_with_gaussian_noise
S02,0.04,200,7.345781443,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,10,44.00312649,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,20,39.2441975,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,30,35.92964751,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,40,32.17258595,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,50,29.12179404,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,60,26.52549886,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,70,24.2202422,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,80,21.6818348,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,90,19.45147092,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,100,19.23182846,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,110,16.57791073,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,120,15.05280306,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,130,13.52042771,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,140,11.58976956,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,150,10.61403094,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,160,9.236683493,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,170,8.365338062,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,180,8.559654278,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,190,7.785446502,0.5,synthetic_analytical_with_gaussian_noise
S03,0.06,200,6.410098873,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,10,26.41641845,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,20,24.45027618,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,30,20.94159878,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,40,19.73801048,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,50,17.49438108,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,60,17.12541747,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,70,15.60640247,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,80,13.00706903,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,90,11.86713882,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,100,11.7975012,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,110,10.17785446,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,120,8.571069627,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,130,8.029153351,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,140,7.048577519,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,150,6.309415469,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,160,5.885826741,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,170,5.723502232,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,180,4.39172479,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,190,5.69959321,0.5,synthetic_analytical_with_gaussian_noise
S04,0.08,200,4.174574344,0.5,synthetic_analytical_with_gaussian_noise
